yyyy,mm,maxC,minC
2017,7,22.8,14.5
2017,8,21.4,13.3
2017,9,18.3,11.1
2017,10,16.6,10.2
2017,11,10.5,4.7
2017,12,8.1,2.6
2018,1,9,3.3
2018,2,5.8,0.4
2018,3,8.5,2.5
2018,4,14.6,7.3
2018,5,17,9
2018,6,19.6,12
2018,7,24.9,15.2
2018,8,22.4,13.9
2018,9,18.8,11.3
