yyyy,mm,maxC,minC
1935,11,8.6,3
1935,12,4.6,0.4
1936,1,5.1,0.6
1936,2,4.6,-1.5
1936,3,9,2.9
1936,4,9.8,1.5
1936,5,13.9,5.7
1936,6,17.9,7.8
1936,7,18.9,11
1936,8,20.4,10.9
1936,9,16.8,10.4
1936,10,12.9,4.9
1936,11,8.6,1.7
1936,12,7.6,1.7
1937,1,6.7,1.6
1937,2,6.8,1.1
1937,3,5.4,-0.4
1937,4,10.8,4.4
1937,5,15.4,6.6
1937,6,17.5,9.1
1937,7,19.7,11.4
1937,8,20.2,11
1937,9,16.5,7.7
1937,10,13,6
1937,11,8.1,3
1937,12,4.4,-0.4
1938,1,7.8,2.5
1938,2,7.4,2.2
1938,3,13.1,5.6
1938,4,11.6,2.8
1938,5,14,4.8
1938,6,17.6,8.8
1938,7,18.6,10
1938,8,18.9,10.3
1938,9,17.2,8.7
1938,10,13,6.2
1938,11,10.9,5
1938,12,6.2,1.4
1939,1,5.4,0.6
1939,2,8.2,2.3
1939,3,8.7,2
1939,4,11.9,3.9
1939,5,15.2,5.6
1939,6,18.3,7.9
1939,7,19,10.4
1939,8,19.7,11.5
1939,9,17.2,9.3
1939,10,11.7,4.1
1939,11,10.3,4.5
1939,12,5.8,1.3
1940,1,1.6,-4.6
1940,2,3.4,-0.8
1940,3,9,1.5
1940,4,10.7,2.7
1940,5,16.5,5.6
1940,6,22.3,9.2
1940,7,18.6,9
1940,8,18.7,9.5
1940,9,16.1,7.1
1940,10,11.5,5.8
1940,11,8.9,3.3
1940,12,5.9,1.4
1941,1,1.8,-2.7
1941,2,4.5,-1.6
1941,3,7.1,-0.1
1941,4,8.9,2.1
1941,5,12.8,3.9
1941,6,18.6,9
1941,7,22,11.5
1941,8,18.2,9.8
1941,9,18.4,9.9
1941,10,13.3,5.8
1941,11,8.8,2.5
1941,12,8.8,2.8
1942,1,3,-1.7
1942,2,2.8,-3.4
1942,3,7.6,-0.6
1942,4,12.3,2.6
1942,5,14.8,4.2
1942,6,18.6,7.9
1942,7,19.3,9.3
1942,8,19.6,11.1
1942,9,17,8
1942,10,14,6
1942,11,8.4,1.7
1942,12,8.3,1.4
1943,1,5.8,-0.5
1943,2,9.7,1
1943,3,10.7,1.1
1943,4,14,4.5
1943,5,16.1,4.9
1943,6,18.3,8.3
1943,7,19.7,9
1943,8,18.8,9.6
1943,9,16.6,7.3
1943,10,13.6,5.1
1943,11,8.4,2.3
1943,12,7,0.4
1944,1,8.7,1.6
1944,2,6.4,0.2
